Day,TimeSlot,Pgplus,Pgminus,Pbplus,Pbminus,sb,dg,eb
0,1,0,5.342130095899809,0,5,0,0,0
0,2,0,5.361029955899809,0,5,0,0,0
0,3,0,5.402080789233143,0,5,0,0,0
0,4,0,5.400641789233142,0,5,0,0,0
0,5,0,5.409680122566476,0,5,0,0,0
0,6,0,5.406920622566476,0,5,0,0,0
0,7,0,5.410862822566476,0,5,0,0,0
0,8,0,5.405509255899809,0,5,0,0,0
0,9,0,5.412448322566476,0,5,0,0,0
0,10,0,5.413978622566476,0,5,0,0,0
0,11,0,5.413230255899809,0,5,0,0,0
0,12,0,5.411440822566476,0,5,0,0,0
0,13,0,5.415286022566476,0,5,0,0,0
0,14,0,5.4156033892331426,0,5,0,0,0
0,15,0,5.410016855899809,0,5,0,0,0
0,16,0,5.424916855899809,0,5,0,0,0
0,17,0,5.43189335589981,0,5,0,0,0
0,18,0,5.438358722566476,0,5,0,0,0
0,19,0,5.432084122566476,0,5,0,0,0
0,20,0,5.438922355899809,0,5,0,0,0
0,21,0,5.4174385558998095,0,5,0,0,0
0,22,0,5.5107815558998094,0,5,0,0,0
0,23,0,5.671552555899809,0,5,0,0,0
0,24,0,5.685075989233143,0,5,0,0,0
0,25,0,5.732104322566476,0,5,0,0,0
0,26,0,5.7687516892331425,0,5,0,0,0
0,27,0,5.783459855899809,0,5,0,0,0
0,28,0,5.664166355899809,0,5,0,0,0
0,29,0,5.670567522566476,0,5,0,0,0
0,30,0,5.671529889233143,0,5,0,0,0
0,31,0,5.669950389233143,0,5,0,0,0
0,32,0,5.649644389233143,0,5,0,0,0
0,33,0,5.654151055899809,0,5,0,0,0
0,34,0,5.6352977225664755,0,5,0,0,0
0,35,0,5.589403355899809,0,5,0,0,0
0,36,0,5.5869284225664755,0,5,0,0,0
0,37,0,5.541035455899809,0,5,0,0,0
0,38,0,5.463036455899809,0,5,0,0,0
0,39,0,5.413466422566476,0,5,0,0,0
0,40,0,5.2551045892331425,0,5,0,0,0
0,41,0,5.220128222566476,0,5,0,0,0
0,42,0,5.2600293558998095,0,5,0,0,0
0,43,0,5.271731755899809,0,5,0,0,0
0,44,0,5.297102455899809,0,5,0,0,0
0,45,0,5.3696146558998095,0,5,0,0,0
0,46,0,5.363798355899809,0,5,0,0,0
0,47,0,5.372238255899809,0,5,0,0,0
0,48,0,5.367904022566476,0,5,0,0,0
1,1,0,5.379252555899809,0,5,0,0,0
1,2,0,5.377066422566476,0,5,0,0,0
1,3,0,5.394564989233142,0,5,0,0,0
1,4,0,5.414214555899809,0,5,0,0,0
1,5,0,5.407513989233142,0,5,0,0,0
1,6,0,5.416393922566476,0,5,0,0,0
1,7,0,5.406078089233143,0,5,0,0,0
1,8,0,5.414382189233143,0,5,0,0,0
1,9,0,5.407013555899809,0,5,0,0,0
1,10,0,5.414057755899809,0,5,0,0,0
1,11,0,5.409273455899809,0,5,0,0,0
1,12,0,5.414126889233143,0,5,0,0,0
1,13,0,5.418045789233142,0,5,0,0,0
1,14,0,5.422567989233142,0,5,0,0,0
1,15,0,5.423398089233142,0,5,0,0,0
1,16,0,5.430785689233143,0,5,0,0,0
1,17,0,5.439009822566476,0,5,0,0,0
1,18,0,5.438906855899809,0,5,0,0,0
1,19,0,5.435390455899809,0,5,0,0,0
1,20,0,5.357915222566476,0,5,0,0,0
1,21,0,5.340961089233143,0,5,0,0,0
1,22,0,5.460773722566476,0,5,0,0,0
1,23,0,5.597708655899809,0,5,0,0,0
1,24,0,5.583191689233143,0,5,0,0,0
