site_id,timezone_id,state,postcode
12054066,Australia/Melbourne,VIC,3851
1914969438,Australia/Melbourne,VIC,3871
1361712847,Australia/Melbourne,VIC,3882
209505494,Australia/Melbourne,VIC,3909
1220687810,Australia/Melbourne,VIC,3929
327993191,Australia/Melbourne,VIC,3950
1093415017,Australia/Melbourne,VIC,3953
1742520507,Australia/Melbourne,VIC,3959
1550200541,Australia/Melbourne,VIC,3976
1108780446,Australia/Melbourne,VIC,3977
562022883,Australia/Melbourne,VIC,3984
2078255693,Australia/Melbourne,VIC,3996
137063397,Australia/Brisbane,QLD,4012
1846722378,Australia/Brisbane,QLD,4012
1102381836,Australia/Brisbane,QLD,4017
986536307,Australia/Brisbane,QLD,4017
893084818,Australia/Brisbane,QLD,4017
1239778620,Australia/Brisbane,QLD,4018
1903744197,Australia/Brisbane,QLD,4034
440230367,Australia/Brisbane,QLD,4036
643496521,Australia/Brisbane,QLD,4051
1448366822,Australia/Brisbane,QLD,4055
1831919899,Australia/Brisbane,QLD,4055
149617518,Australia/Brisbane,QLD,4055
622157602,Australia/Brisbane,QLD,4065
1293357773,Australia/Brisbane,QLD,4073
1365502870,Australia/Brisbane,QLD,4073
1386267576,Australia/Brisbane,QLD,4074
1709044268,Australia/Brisbane,QLD,4075
1176033469,Australia/Brisbane,QLD,4078
695962674,Australia/Brisbane,QLD,4114
1102741260,Australia/Brisbane,QLD,4114
2138660056,Australia/Brisbane,QLD,4124
31551596,Australia/Brisbane,QLD,4125
721562873,Australia/Brisbane,QLD,4127
1350493774,Australia/Brisbane,QLD,4130
2088887500,Australia/Brisbane,QLD,4132
901780483,Australia/Brisbane,QLD,4132
2087285002,Australia/Brisbane,QLD,4132
1933261959,Australia/Brisbane,QLD,4133
341281495,Australia/Brisbane,QLD,4156
223489310,Australia/Brisbane,QLD,4156
372229050,Australia/Brisbane,QLD,4159
913922765,Australia/Brisbane,QLD,4159
659253911,Australia/Brisbane,QLD,4160
1234386253,Australia/Brisbane,QLD,4160
1016682555,Australia/Brisbane,QLD,4165
550991674,Australia/Brisbane,QLD,4170
371655602,Australia/Brisbane,QLD,4171
634512809,Australia/Brisbane,QLD,4173
253980921,Australia/Brisbane,QLD,4178
1308298827,Australia/Brisbane,QLD,4205
746025773,Australia/Brisbane,QLD,4207
44670684,Australia/Brisbane,QLD,4207
323612062,Australia/Brisbane,QLD,4207
825497487,Australia/Brisbane,QLD,4207
1422124037,Australia/Brisbane,QLD,4208
767655154,Australia/Brisbane,QLD,4209
995567378,Australia/Brisbane,QLD,4209
1523090102,Australia/Brisbane,QLD,4209
794004970,Australia/Brisbane,QLD,4209
1752879486,Australia/Brisbane,QLD,4209
1997120171,Australia/Brisbane,QLD,4210
1793726907,Australia/Brisbane,QLD,4210
313374782,Australia/Brisbane,QLD,4211
1589260563,Australia/Brisbane,QLD,4211
483972807,Australia/Brisbane,QLD,4211
1265734677,Australia/Brisbane,QLD,4211
1542990109,Australia/Brisbane,QLD,4212
1085524404,Australia/Brisbane,QLD,4213
901604939,Australia/Brisbane,QLD,4220
1317352115,Australia/Brisbane,QLD,4220
2012881190,Australia/Brisbane,QLD,4223
1359011746,Australia/Brisbane,QLD,4228
683590089,Australia/Brisbane,QLD,4280
2070896307,Australia/Brisbane,QLD,4280
1568726976,Australia/Brisbane,QLD,4285
768740089,Australia/Brisbane,QLD,4300
323793566,Australia/Brisbane,QLD,4300
1192428047,Australia/Brisbane,QLD,4300
1601401238,Australia/Brisbane,QLD,4301
851722558,Australia/Brisbane,QLD,4305
1622964734,Australia/Brisbane,QLD,4305
1951741333,Australia/Brisbane,QLD,4305
916614035,Australia/Brisbane,QLD,4306
982160039,Australia/Brisbane,QLD,4306
533271200,Australia/Brisbane,QLD,4311
1661863721,Australia/Brisbane,QLD,4341
181948637,Australia/Brisbane,QLD,4342
2015586306,Australia/Brisbane,QLD,4350
873652046,Australia/Brisbane,QLD,4503
909892068,Australia/Brisbane,QLD,4503
1916181319,Australia/Brisbane,QLD,4503
633942692,Australia/Brisbane,QLD,4504
929518868,Australia/Brisbane,QLD,4504
1416549752,Australia/Brisbane,QLD,4504
1170392317,Australia/Brisbane,QLD,4508
1144786488,Australia/Brisbane,QLD,4510
2085326817,Australia/Brisbane,QLD,4510
611220440,Australia/Brisbane,QLD,4510
1952525242,Australia/Brisbane,QLD,4510
1022420524,Australia/Brisbane,QLD,4510
1759839009,Australia/Brisbane,QLD,4510
1626870991,Australia/Brisbane,QLD,4511
1228212642,Australia/Brisbane,QLD,4519
498170709,Australia/Brisbane,QLD,4551
1147722524,Australia/Brisbane,QLD,4560
40704780,Australia/Brisbane,QLD,4560
926873147,Australia/Brisbane,QLD,4563
571926361,Australia/Brisbane,QLD,4563
1206066070,Australia/Brisbane,QLD,4568
1988144139,Australia/Brisbane,QLD,4569
1843326847,Australia/Brisbane,QLD,4573
875033188,Australia/Brisbane,QLD,4573
1800867661,Australia/Brisbane,QLD,4575
1178972053,Australia/Brisbane,QLD,4650
1211881043,Australia/Brisbane,QLD,4655
263534978,Australia/Brisbane,QLD,4701
2021984147,Australia/Brisbane,QLD,4702
1648684989,Australia/Brisbane,QLD,4702
1487366779,Australia/Brisbane,QLD,4715
440825772,Australia/Brisbane,QLD,4720
1406367167,Australia/Brisbane,QLD,4740
549308027,Australia/Brisbane,QLD,4740
1904623508,Australia/Brisbane,QLD,4753
1716116189,Australia/Brisbane,QLD,4799
1691026158,Australia/Brisbane,QLD,4800
594540160,Australia/Brisbane,QLD,4802
327231844,Australia/Brisbane,QLD,4817
1267227358,Australia/Adelaide,SA,5000
331786573,Australia/Adelaide,SA,5000
1714617858,Australia/Adelaide,SA,5006
762243199,Australia/Adelaide,SA,5009
484133066,Australia/Adelaide,SA,5011
1735033663,Australia/Adelaide,SA,5013
1674281626,Australia/Adelaide,SA,5018
859371780,Australia/Adelaide,SA,5018
1832506396,Australia/Adelaide,SA,5018
1703685207,Australia/Adelaide,SA,5019
280696729,Australia/Adelaide,SA,5019
1613593427,Australia/Adelaide,SA,5019
742973191,Australia/Adelaide,SA,5020
1725387903,Australia/Adelaide,SA,5020
1920661785,Australia/Adelaide,SA,5021
1715132676,Australia/Adelaide,SA,5022
2132171512,Australia/Adelaide,SA,5022
1925962403,Australia/Adelaide,SA,5023
1746086019,Australia/Adelaide,SA,5023
1622837756,Australia/Adelaide,SA,5024
637618830,Australia/Adelaide,SA,5024
1328500092,Australia/Adelaide,SA,5032
1862148053,Australia/Adelaide,SA,5035
352610646,Australia/Adelaide,SA,5038
484197318,Australia/Adelaide,SA,5038
118662027,Australia/Adelaide,SA,5041
330405493,Australia/Adelaide,SA,5044
1251983502,Australia/Adelaide,SA,5046
930666244,Australia/Adelaide,SA,5047
2003742361,Australia/Adelaide,SA,5048
387074283,Australia/Adelaide,SA,5049
1033472624,Australia/Adelaide,SA,5052
122868314,Australia/Adelaide,SA,5061
524933633,Australia/Adelaide,SA,5061
1890105430,Australia/Adelaide,SA,5063
1069844468,Australia/Adelaide,SA,5063
763171178,Australia/Adelaide,SA,5063
1362061766,Australia/Adelaide,SA,5063
309568343,Australia/Adelaide,SA,5065
1388826996,Australia/Adelaide,SA,5065
1265617682,Australia/Adelaide,SA,5066
269185004,Australia/Adelaide,SA,5067
1413489775,Australia/Adelaide,SA,5068
1336440345,Australia/Adelaide,SA,5068
1034174116,Australia/Adelaide,SA,5068
532584934,Australia/Adelaide,SA,5073
2081651224,Australia/Adelaide,SA,5073
720643644,Australia/Adelaide,SA,5073
382146350,Australia/Adelaide,SA,5075
1727911055,Australia/Adelaide,SA,5082
1103766222,Australia/Adelaide,SA,5082
1189959747,Australia/Adelaide,SA,5082
1874802241,Australia/Adelaide,SA,5082
512503195,Australia/Adelaide,SA,5082
1574307990,Australia/Adelaide,SA,5082
287141161,Australia/Adelaide,SA,5083
491790179,Australia/Adelaide,SA,5086
354449532,Australia/Adelaide,SA,5086
1595896761,Australia/Adelaide,SA,5090
212955555,Australia/Adelaide,SA,5092
1544507344,Australia/Adelaide,SA,5092
1114758004,Australia/Adelaide,SA,5092
1756268636,Australia/Adelaide,SA,5092
24931494,Australia/Adelaide,SA,5093
261868923,Australia/Adelaide,SA,5093
141393587,Australia/Adelaide,SA,5095
1917802240,Australia/Adelaide,SA,5095
1824096609,Australia/Adelaide,SA,5095
289382707,Australia/Adelaide,SA,5095
604777981,Australia/Adelaide,SA,5095
1756158018,Australia/Adelaide,SA,5096
1068350261,Australia/Adelaide,SA,5096
1139325794,Australia/Adelaide,SA,5096
210042273,Australia/Adelaide,SA,5096
644918098,Australia/Adelaide,SA,5097
1232529807,Australia/Adelaide,SA,5097
811007480,Australia/Adelaide,SA,5097
868748408,Australia/Adelaide,SA,5098
1834637510,Australia/Adelaide,SA,5098
1138639426,Australia/Adelaide,SA,5098
805529377,Australia/Adelaide,SA,5107
422798466,Australia/Adelaide,SA,5108
1618884905,Australia/Adelaide,SA,5108
1609280324,Australia/Adelaide,SA,5108
1456187542,Australia/Adelaide,SA,5108
1777893714,Australia/Adelaide,SA,5109
1378630403,Australia/Adelaide,SA,5113
726749363,Australia/Adelaide,SA,5113
754472119,Australia/Adelaide,SA,5114
2120209014,Australia/Adelaide,SA,5114
1144557881,Australia/Adelaide,SA,5115
1805976895,Australia/Adelaide,SA,5116
476997707,Australia/Adelaide,SA,5116
981232874,Australia/Adelaide,SA,5116
414226922,Australia/Adelaide,SA,5118
920480321,Australia/Adelaide,SA,5125
1340468220,Australia/Adelaide,SA,5125
426950255,Australia/Adelaide,SA,5126
2083883809,Australia/Adelaide,SA,5127
228898826,Australia/Adelaide,SA,5127
122229845,Australia/Adelaide,SA,5152
1295991263,Australia/Adelaide,SA,5153
1772612527,Australia/Adelaide,SA,5154
384669246,Australia/Adelaide,SA,5158
878147348,Australia/Adelaide,SA,5159
1432529870,Australia/Adelaide,SA,5159
735328110,Australia/Adelaide,SA,5159
1718475748,Australia/Adelaide,SA,5161
920817023,Australia/Adelaide,SA,5162
575896105,Australia/Adelaide,SA,5162
250071077,Australia/Adelaide,SA,5162
915882126,Australia/Adelaide,SA,5162
1528391306,Australia/Adelaide,SA,5162
1800630065,Australia/Adelaide,SA,5163
1433056944,Australia/Adelaide,SA,5163
641717376,Australia/Adelaide,SA,5163
1020940293,Australia/Adelaide,SA,5167
1925447609,Australia/Adelaide,SA,5168
1778599741,Australia/Adelaide,SA,5168
775370479,Australia/Adelaide,SA,5169
678817525,Australia/Adelaide,SA,5169
1435073653,Australia/Adelaide,SA,5171
1521719025,Australia/Adelaide,SA,5173
760916551,Australia/Adelaide,SA,5174
1248977348,Australia/Adelaide,SA,5204
6005316,Australia/Adelaide,SA,5211
201634828,Australia/Adelaide,SA,5211
452256605,Australia/Adelaide,SA,5212
470320218,Australia/Adelaide,SA,5213
1859315149,Australia/Adelaide,SA,5214
1848139887,Australia/Adelaide,SA,5223
978198487,Australia/Adelaide,SA,5223
767719182,Australia/Adelaide,SA,5235
547134829,Australia/Adelaide,SA,5238
1061842753,Australia/Adelaide,SA,5244
1782507065,Australia/Adelaide,SA,5245
1378444038,Australia/Adelaide,SA,5251
1121994789,Australia/Adelaide,SA,5251
1543988462,Australia/Adelaide,SA,5251
1663051830,Australia/Adelaide,SA,5251
1927174312,Australia/Adelaide,SA,5251
1083288488,Australia/Adelaide,SA,5251
1324765588,Australia/Adelaide,SA,5252
29602116,Australia/Adelaide,SA,5253
1258302521,Australia/Adelaide,SA,5253
385989372,Australia/Adelaide,SA,5255
1028184761,Australia/Adelaide,SA,5268
380452945,Australia/Adelaide,SA,5271
246327360,Australia/Adelaide,SA,5271
1850743317,Australia/Adelaide,SA,5275
1974462171,Australia/Adelaide,SA,5290
1566948116,Australia/Adelaide,SA,5290
531251701,Australia/Adelaide,SA,5290
450993493,Australia/Adelaide,SA,5291
1192376844,Australia/Adelaide,SA,5291
103401566,Australia/Adelaide,SA,5302
1433444792,Australia/Adelaide,SA,5343
540609729,Australia/Adelaide,SA,5351
397315754,Australia/Adelaide,SA,5351
1791135663,Australia/Adelaide,SA,5355
1069324582,Australia/Adelaide,SA,5355
1718176231,Australia/Adelaide,SA,5355
748153552,Australia/Adelaide,SA,5357
935621284,Australia/Adelaide,SA,5373
1332015174,Australia/Adelaide,SA,5412
294563806,Australia/Adelaide,SA,5415
743611652,Australia/Adelaide,SA,5453
982857895,Australia/Adelaide,SA,5453
999875553,Australia/Adelaide,SA,5460
588496279,Australia/Adelaide,SA,5473
2095154081,Australia/Adelaide,SA,5540
789176090,Australia/Adelaide,SA,5540
1469246727,Australia/Adelaide,SA,5540
1295712222,Australia/Adelaide,SA,5540
252956890,Australia/Adelaide,SA,5540
1974225368,Australia/Adelaide,SA,5540
327043,Australia/Adelaide,SA,5540
1800697648,Australia/Adelaide,SA,5558
1299041981,Australia/Adelaide,SA,5558
979688436,Australia/Adelaide,SA,5571
921109113,Australia/Adelaide,SA,5573
1473631699,Australia/Adelaide,SA,5606
1573044141,Australia/Adelaide,SA,5607
46457498,Australia/Adelaide,SA,5640
220263763,Australia/Adelaide,SA,5690
1653751672,Australia/Adelaide,SA,5700
666803824,Australia/Perth,WA,6010
94945725,Australia/Perth,WA,6027
691371646,Australia/Perth,WA,6030
1486505280,Australia/Perth,WA,6035
364517646,Australia/Perth,WA,6054
925938488,Australia/Perth,WA,6062
913338802,Australia/Perth,WA,6063
2121566623,Australia/Perth,WA,6064
817960367,Australia/Perth,WA,6064
769377789,Australia/Perth,WA,6066
1905189529,Australia/Perth,WA,6066
807374097,Australia/Perth,WA,6069
332936487,Australia/Perth,WA,6073
410078745,Australia/Perth,WA,6102
1855757797,Australia/Perth,WA,6103
1567743499,Australia/Perth,WA,6103
1850120485,Australia/Perth,WA,6108
1588797733,Australia/Perth,WA,6112
636477894,Australia/Perth,WA,6112
111011284,Australia/Perth,WA,6155
2109255967,Australia/Perth,WA,6155
1964741892,Australia/Perth,WA,6155
160669105,Australia/Perth,WA,6164
1793040539,Australia/Perth,WA,6164
1181950380,Australia/Perth,WA,6166
128385117,Australia/Perth,WA,6171
1697701067,Australia/Perth,WA,6208
488577169,Australia/Perth,WA,6210
151114796,Australia/Perth,WA,6218
2115313063,Australia/Perth,WA,6220
1188935740,Australia/Perth,WA,6230
1960662327,Australia/Perth,WA,6232
1155032725,Australia/Perth,WA,6232
1108892548,Australia/Perth,WA,6566
2107252209,Australia/Melbourne,TAS,7112
907707355,Australia/Hobart,TAS,7190
275966411,Australia/Hobart,TAS,7250
1061037957,Australia/Hobart,TAS,7300
406400077,Australia/Hobart,TAS,7300
876076654,Australia/Hobart,TAS,7321
1833385967,Australia/Hobart,TAS,7467
